,Brightness,Contrast,Pixel,Resolution,Vignette,clarity,image_name
0,93.69161224365234,4652937.0,191.9270694821343,530,0.7440583085911152,503.42169631558727,150083719.jpg
1,131.78831481933594,3294208.25,160.0,480,0.7630171481687095,995.0306398311615,150086217.jpg
2,88.76054382324219,3241034.0,160.0,480,0.7630171481687095,4530.5768035805595,150084051.jpg
3,166.8363800048828,9880543.0,256.0,768,0.7218368939184739,529.766875303388,150105852.jpg
4,132.4294891357422,4680809.0,192.37006004053748,534,0.7432971743614247,149.7291922030781,150086093.jpg
5,114.36373901367188,3269729.75,160.0,480,0.7630171481687095,590.4411587395562,150103548.jpg
6,99.56434631347656,13098424.0,299.99493329054746,782,0.721396822007298,1170.3514985864163,150101084.jpg
7,127.79898071289062,413392.9375,64.72001236093826,194,1.2623648319168919,1968.1203008654334,150081589.thumb.jpg
8,84.25941467285156,406161.125,66.06481665758257,183,1.2662047348931809,3112.7451896439657,150085397.thumb.jpg
9,83.048828125,408716.1875,64.72001236093826,194,1.2623648319168919,2253.608583065431,150100437.thumb.jpg
10,105.17542266845703,3796198.5,168.38159044266092,547,0.7481419971418384,1888.6833195236925,150100905.jpg
11,124.55012512207031,1431874.0,116.1077086157504,295,0.8930277446584337,1591.5924315583338,150105059.jpg
12,123.80429077148438,9551071.0,256.0,768,0.7218368939184739,203.53227354057734,150102427.jpg
13,126.36710357666016,386657.4375,64.72001236093826,194,1.2623648319168919,3370.4794487656177,150100755.thumb.jpg
14,104.61003875732422,3296173.25,160.0,480,0.7630171481687095,516.342307681518,150084056.jpg
15,117.94612121582031,3349662.5,160.0,480,0.7630171481687095,406.379224847412,150083780.jpg
16,91.94803619384766,1138180.875,103.12885144323096,280,0.9344932998152434,598.4359474953143,150082359.jpg
17,139.39651489257812,575467.9375,75.0,225,1.1262067756321708,795.2701730335255,150085363.thumb.jpg
18,143.1947479248047,1825228.25,125.0,375,0.8293733250724235,3852.4675509304893,150082992.jpg
19,123.93992614746094,1917712.0,125.0,375,0.8293733250724235,385.8095785351396,150102021.jpg
20,90.8172607421875,1766142.625,120.0,360,0.8445636028319286,325.61716886543934,150081888.jpg
21,100.03809356689453,3342643.25,160.0,480,0.7630171481687095,1489.3193598611515,150103629.jpg
22,123.73783874511719,3214072.75,160.0,480,0.7630171481687095,699.1070668938531,150103428.jpg
23,113.35460662841797,3300164.0,160.0,480,0.7630171481687095,551.1329632161035,150086282.jpg
24,118.46109771728516,1529438.375,111.24315709291966,360,0.8658306913603956,942.5247080282468,150080038.jpg
25,134.53614807128906,9611049.0,256.0,768,0.7218368939184739,858.8190332613622,150083324.jpg
26,139.95372009277344,3224010.0,154.65522946218147,434,0.778229094798017,999.7147713403526,150101960.jpg
27,145.04830932617188,2807643.75,153.87384443107933,427,0.7810036106831963,1173.6351539420666,150102991.jpg
28,130.69142150878906,3228689.25,159.76032048039963,478,0.7635813549871079,703.564738482857,150084991.jpg
29,80.3723373413086,9815603.0,256.0,768,0.7218368939184739,868.2279620898518,150082962.jpg
30,82.66661071777344,3395389.25,160.0,480,0.7630171481687095,1048.3489538309311,150101196.jpg
31,146.1644744873047,1494500.0,111.24315709291966,360,0.8658306913603956,847.5710962674932,150085495.jpg
32,127.73765563964844,3339746.5,160.0,480,0.7630171481687095,420.9979787821345,150085089.jpg
33,116.71234130859375,9417901.0,256.0,768,0.7218368939184739,384.3302522210465,150080490.jpg
34,163.71426391601562,1721047.625,120.0,360,0.8445636028319286,592.5064285083577,150080705.jpg
35,158.1776580810547,1733826.0,120.0,360,0.8445636028319286,586.1360532245316,150084171.jpg
36,111.44975280761719,3216701.75,160.0,480,0.7630171481687095,1925.9814080930917,150079887.jpg
37,168.83258056640625,9789091.0,256.0,768,0.7218368939184739,1214.9356098965634,150084952.jpg
38,92.0739974975586,404364.25,64.72001236093826,194,1.2623648319168919,2215.372845194051,150084715.thumb.jpg
39,101.30748748779297,9650972.0,256.0,768,0.7218368939184739,510.71183499439695,150101015.jpg
40,126.77272033691406,3196507.25,160.0,480,0.7630171481687095,1591.804399639034,150085542.jpg
41,106.7035140991211,2415654.0,140.44002278552935,421,0.7929971903507144,1455.748273396434,150083295.jpg
42,108.71573638916016,397647.375,66.06481665758257,183,1.2662047348931809,1584.4971666545994,150080973.thumb.jpg
