,image_name,rank,topsis_score
0,150101084.jpg,1.0,0.5957989193484775
1,150084051.jpg,2.0,0.5662248939884458
2,150084952.jpg,3.0,0.5524576675459667
3,150083324.jpg,4.0,0.5143906044928318
4,150082962.jpg,5.0,0.5063460895440485
5,150105852.jpg,6.0,0.504106715146644
6,150082992.jpg,7.0,0.4887588330956474
7,150101015.jpg,8.0,0.4847673887710395
8,150080490.jpg,9.0,0.47614511639853013
9,150102427.jpg,10.0,0.469994441591501
10,150100905.jpg,11.0,0.38924651105829244
11,150100755.thumb.jpg,12.0,0.38808720815453923
12,150079887.jpg,13.0,0.3674699306275218
13,150085397.thumb.jpg,14.0,0.3579132760914063
14,150085542.jpg,15.0,0.3416584419034184
15,150103629.jpg,16.0,0.32723727812261605
16,150083719.jpg,17.0,0.3143929260681679
17,150086093.jpg,18.0,0.3125849978079323
18,150086217.jpg,19.0,0.29812878485154937
19,150102991.jpg,20.0,0.295226437726244
20,150101960.jpg,21.0,0.28986230163759724
21,150101196.jpg,22.0,0.28938549016621007
22,150083295.jpg,23.0,0.2867424078793132
23,150084991.jpg,24.0,0.27734399709218194
24,150103428.jpg,25.0,0.2741885014214555
25,150100437.thumb.jpg,26.0,0.2730942428871931
26,150084715.thumb.jpg,27.0,0.27014971206206123
27,150103548.jpg,28.0,0.2658651579685189
28,150085089.jpg,29.0,0.265023275599914
29,150086282.jpg,30.0,0.26420957407935197
30,150083780.jpg,31.0,0.26052579149073185
31,150084056.jpg,32.0,0.2596386380986271
32,150105059.jpg,33.0,0.2570044132573049
33,150081589.thumb.jpg,34.0,0.2538906118745932
34,150080705.jpg,35.0,0.22212313584868315
35,150084171.jpg,36.0,0.21705746085872885
36,150085495.jpg,37.0,0.2135895884463687
37,150080038.jpg,38.0,0.20221995291054334
38,150080973.thumb.jpg,39.0,0.20165409225868675
39,150102021.jpg,40.0,0.19088312971848084
40,150081888.jpg,41.0,0.16413652771035228
41,150085363.thumb.jpg,42.0,0.1457106484362273
42,150082359.jpg,43.0,0.1327162199703353
